id,sentence,origin
002137,行人无限秋风思，隔水青山似故乡                                             ,出自唐朝戴叔伦的《题稚川山水》                                                                                     
002138,年年春日异乡悲，杜曲黄莺可得知                                             ,出自唐朝韦庄的《江外思乡》                                                                                       
002139,君是南山遗爱守，我为剑外思归客                                             ,出自宋朝苏轼的《满江红·寄鄂州朱使君寿昌》                                                                               
002140,目送征鸿飞杳杳，思随流水去茫茫                                             ,出自宋朝孙光宪的《浣溪沙·蓼岸风多橘柚香》                                                                               
002141,汀洲无浪复无烟，楚客相思益渺然                                             ,出自唐朝刘长卿的《自夏口至鹦鹉洲夕望岳阳寄源中丞》                                                                           
002142,明岁秋风知再会，暂时分手莫相思                                             ,出自清朝曹雪芹的《残菊》                                                                                        
002143,石溪久住思端午，馆驿楼前看发机                                             ,出自唐朝卢肇的《竞渡诗/及第后江宁观竞渡寄袁州剌史成应元》                                                                       
002144,乡思不堪悲橘柚，旅游谁肯重王孙                                             ,出自唐朝谭用之的《秋宿湘江遇雨》                                                                                    
002145,不用思量今古，俯仰昔人非                                                ,出自宋朝苏轼的《八声甘州·寄参寥子》                                                                                  
002146,今朝北客思归去，回入纥那披绿罗                                             ,出自唐朝刘禹锡的《竹枝词二首·其二》                                                                                  
002147,碧芜千里思悠悠，惟有霎时凉梦、到南州                                          ,出自宋朝李廌的《虞美人·玉阑干外清江浦》                                                                                
002148,傍邻闻者多叹息，远客思乡皆泪垂                                             ,出自唐朝李颀的《听安万善吹觱篥歌》                                                                                   
002149,春风一夜吹乡梦，又逐春风到洛城                                             ,出自唐朝武元衡的《春兴》                                                                                        
002150,吴洲如见月，千里幸相思                                                 ,出自唐朝李白的《送张舍人之江东》                                                                                    
002151,威加海内兮归故乡安得猛士兮守四方                                            ,出自汉朝刘邦的《大风歌》                                                                                        
002152,且莫思身外，长近尊前                                                  ,出自宋朝周邦彦的《满庭芳·夏日溧水无想山作》                                                                              
002153,梦里分明见关塞，不知何路向金微                                             ,出自唐朝张仲素的《秋闺思二首》                                                                                     
002154,登临送目，正故国晚秋，天气初肃                                             ,出自宋朝王安石的《桂枝香·金陵怀古》                                                                                  
002155,卧龙跃马终黄土，人事音书漫寂寥                                             ,出自唐朝杜甫的《阁夜》                                                                                         
002156,明日相思莫上楼，楼上多风雨                                               ,出自宋朝游次公的《卜算子·风雨送人来》                                                                                 
002157,他乡生白发，旧国见青山                                                 ,出自唐朝司空曙的《贼平后送人北归》                                                                                   
002158,今春看又过，何日是归年                                                 ,出自唐朝杜甫的《绝句二首》                                                                                       
002159,自是相思抽不尽，却教风雨怨秋声                                             ,出自清朝郑板桥的《咏芭蕉》                                                                                       
002160,何日归家洗客袍银字笙调，心字香烧                                            ,出自宋朝蒋捷的《一剪梅·舟过吴江》                                                                                   
002161,岭外音书断，经冬复历春                                                 ,出自唐朝宋之问的《渡汉江》                                                                                       
002162,愁与西风应有约，年年同赴清秋                                              ,出自宋朝史达祖的《临江仙·闺思》                                                                                    
002163,停船暂借问，或恐是同乡                                                 ,出自唐朝崔颢的《长干行·君家何处住》                                                                                  
002164,长风几万里，吹度玉门关                                                 ,出自唐朝李白的《关山月》                                                                                        
002165,要问相思，天涯犹自短                                                  ,出自宋朝晏几道的《清商怨·庭花香信尚浅》                                                                                
002166,二月江南花满枝，他乡寒食远堪悲                                             ,出自唐朝孟云卿的《寒食》                                                                                        
002167,一年将尽夜，万里未归人                                                 ,出自唐朝戴叔伦的《除夜宿石头驿》                                                                                    
002168,郁陶思君未敢言，寄声浮云往不还                                             ,出自魏晋曹丕的《燕歌行二首·其二》                                                                                   
002169,何事吟余忽惆怅，村桥原树似吾乡                                             ,出自宋朝王禹偁的《村行》                                                                                        
002170,一声梧叶一声秋，一点芭蕉一点愁，三更归梦三更后                                     ,出自唐朝徐再思的《水仙子·夜雨》                                                                                    
002171,日日望乡国，空歌白苎词                                                 ,出自唐朝张籍的《蓟北旅思/送远人》                                                                                   
002172,我行殊未已，何日复归来                                                 ,出自唐朝宋之问的《题大庾岭北驿》                                                                                    
002173,君家何处住，妾住在横塘                                                 ,出自唐朝崔颢的《长干行·君家何处住》                                                                                  
002174,相思一夜窗前梦，奈个人、水隔天遮                                            ,出自元朝王沂孙的《高阳台·和周草窗寄越中诸友韵》                                                                            
002175,江水三千里，家书十五行                                                 ,出自的《》                                                                                               
002176,淮南皓月冷千山，冥冥归去无人管                                             ,出自宋朝姜夔的《踏莎行·自沔东来丁未元日至金陵江上感梦而作》                                                                      
002177,万里归船弄长笛，此心吾与白鸥盟                                             ,出自宋朝黄庭坚的《登快阁》                                                                                       
002178,夜寒茅店不成眠，残月照吟鞭                                               ,出自宋朝吴激的《诉衷情·夜寒茅店不成眠》                                                                                
002179,青紫虽被体，不如早还乡                                                 ,出自唐朝杜甫的《夏夜叹》                                                                                        
002180,古台摇落后，秋日望乡心                                                 ,出自唐朝刘长卿的《秋日登吴公台上寺远眺》                                                                                
002181,老至居人下，春归在客先                                                 ,出自唐朝刘长卿的《新年作》                                                                                       
002182,有情知望乡，谁能鬒不变                                                 ,出自南北朝谢朓的《晚登三山还望京邑》                                                                                  
002183,三湘愁鬓逢秋色，万里归心对月明                                             ,出自唐朝卢纶的《晚次鄂州》                                                                                       
002184,雁尽书难寄，愁多梦不成                                                 ,出自唐朝沈如筠的《闺怨二首·其一》                                                                                   
002185,碛里征人三十万，一时回向月明看                                             ,出自唐朝李益的《从军北征》                                                                                       
002186,年年跃马长安市客舍似家家似寄                                              ,出自宋朝刘克庄的《玉楼春·戏林推》                                                                                   
002187,乡心新岁切，天畔独潸然                                                 ,出自唐朝刘长卿的《新年作》                                                                                       
002188,塞花飘客泪，边柳挂乡愁                                                 ,出自唐朝岑参的《武威春暮闻宇文判官西使还已到晋昌》                                                                           
002189,门有车马客，驾言发故乡                                                 ,出自魏晋陆机的《门有车马客行》                                                                                     
002190,从今后，梦魂千里，夜夜岳阳楼                                              ,出自宋朝徐君宝妻的《满庭芳·汉上繁华》                                                                                 
002191,岁夜高堂列明烛，美酒一杯声一曲                                             ,出自唐朝李颀的《听安万善吹觱篥歌》                                                                                   
002192,汉月垂乡泪，胡沙费马蹄                                                 ,出自唐朝岑参的《碛西头送李判官入京》                                                                                  
002193,还将两行泪，遥寄海西头                                                 ,出自唐朝孟浩然的《宿桐庐江寄广陵旧游》                                                                                 
002194,未收天子河湟地，不拟回头望故乡                                             ,出自唐朝令狐楚的《少年行四首·其三》                                                                                  
002195,满衣血泪与尘埃，乱后还乡亦可哀                                             ,出自明朝高启的《送陈秀才还沙上省墓》                                                                                  
002196,过尽征鸿来尽燕，故园消息茫然                                              ,出自宋朝赵长卿的《临江仙·暮春》                                                                                    
002197,不知何岁月，得与尔同归                                                 ,出自唐朝韦承庆的《南中咏雁诗》                                                                                     
002198,远梦归侵晓，家书到隔年                                                 ,出自唐朝杜牧的《旅宿》                                                                                         
002199,坐到三更尽，归仍万里赊                                                 ,出自唐朝戎昱的《桂州腊夜》                                                                                       
002200,归梦寄吴樯水驿江程去路长                                                ,出自宋朝陆游的《南乡子·归梦寄吴樯》                                                                                  
002201,行行无别语，只道早还乡                                                 ,出自的《》                                                                                               
002202,堪怨王孙，不记归期早                                                  ,出自宋朝梅尧臣的《苏幕遮·草》                                                                                     
002203,云物不殊乡国异，教儿且覆掌中杯                                             ,出自唐朝杜甫的《小至》                                                                                         
002204,翻被梨花冷看，人生苦恋天涯                                               ,出自宋朝张炎的《朝中措·清明时节》                                                                                   
002205,杨柳乍如丝，故园春尽时                                                 ,出自清朝纳兰性德的《菩萨蛮·问君何事轻离别》                                                                              
002206,灞涘望长安，河阳视京县                                                 ,出自南北朝谢朓的《晚登三山还望京邑》                                                                                  
002207,楚水巴山江雨多，巴人能唱本乡歌                                             ,出自唐朝刘禹锡的《竹枝词二首·其二》                                                                                  
002208,正见空江明月来，云水苍茫失江路                                             ,出自宋朝欧阳修的《晚泊岳阳》                                                                                      
002209,明眸皓齿谁复见，只有丹青余泪痕                                             ,出自宋朝苏轼的《虢国夫人夜游图》                                                                                    
002210,不用凭栏苦回首，故乡七十五长亭                                             ,出自唐朝杜牧的《题齐安城楼》                                                                                      
002211,自从一闭风光后，几度飞来不见人                                             ,出自唐朝李益的《隋宫燕》                                                                                        
002212,四海十年兵不解，胡尘直到江城                                              ,出自宋朝陈克的《临江仙·四海十年兵不解》                                                                                
002213,异乡物态与人殊，惟有东风旧相识                                             ,出自宋朝欧阳修的《春日西湖寄谢法曹歌》                                                                                 
002214,九月九日眺山川，归心归望积风烟                                             ,出自唐朝卢照邻的《九月九日登玄武山/九月九日玄武山旅眺》                                                                        
002215,风尘荏苒音书绝，关塞萧条行路难                                             ,出自唐朝杜甫的《宿府》                                                                                         
002216,男儿少为客，不辨是他乡                                                 ,出自明朝李流芳的《黄河夜泊》                                                                                      
002217,天怜客子乡关远借与花消遣                                                ,出自宋朝蒋捷的《虞美人·梳楼》                                                                                     
002218,试问乡关何处是，水云浩荡迷南北                                             ,出自宋朝赵鼎的《满江红·丁未九月南渡泊舟仪真江口作》                                                                          
002219,行多有病住无粮，万里还乡未到乡                                             ,出自唐朝卢纶的《逢病军人》                                                                                       
002220,他乡共酌金花酒，万里同悲鸿雁天                                             ,出自唐朝卢照邻的《九月九日登玄武山/九月九日玄武山旅眺》                                                                        
002221,万里乡为梦，三边月作愁                                                 ,出自唐朝岑参的《送人赴安西》                                                                                      
002222,渐近燕山回首乡关归路难                                                 ,出自清朝蒋氏女的《减字木兰花·题雄州驿》                                                                                
002223,鹿车何日驾，归去颍东田                                                 ,出自宋朝欧阳修的《秋怀》                                                                                        
002224,此地动归念，长年悲倦游                                                 ,出自南北朝王籍的《入若耶溪》                                                                                      
002225,关山四面绝，故乡几千里                                                 ,出自南北朝刘昶的《断句》                                                                                        
002226,夜听胡笳折杨柳，教人意气忆长安                                             ,出自唐朝王翰的《凉州词》                                                                                        
002227,隔水毡乡，落日牛羊下，区脱纵横                                             ,出自宋朝张孝祥的《六州歌头·长淮望断》                                                                                 
002228,回鞭指长安，西日落秦关                                                 ,出自唐朝李白的《登敬亭北二小山余时送客逢崔侍御并登此地》                                                                        
002229,他乡逢七夕，旅馆益羁愁                                                 ,出自唐朝孟浩然的《他乡七夕》                                                                                      
002230,送子军中饮，家书醉里题                                                 ,出自唐朝岑参的《碛西头送李判官入京》                                                                                  
002231,重到故乡交旧少，凄凉却恐它乡胜故乡                                           ,出自宋朝陆游的《南乡子·归梦寄吴樯》                                                                                  
002232,取酒须勤醉，乡关不可思                                                 ,出自宋朝司马光的《送张寺丞觐知富顺监》                                                                                 
002233,故乡归去千里，佳处辄迟留                                                ,出自宋朝苏轼的《水调歌头·安石在东海》                                                                                 
002234,回首故山千里外，别离心绪向谁言                                             ,出自宋朝杨徽之的《寒食寄郑起侍郎》                                                                                   
002235,烽火平安夜，归梦到家山                                                 ,出自宋朝崔与之的《水调歌头·题剑阁》                                                                                  
002236,临水整乌纱两鬓苍华故乡心事在天涯                                            ,出自宋朝吴琚的《浪淘沙·岸柳可藏鸦》                                                                                  
002237,如今白首乡心尽，万里归程在梦中                                             ,出自唐朝清江的《送婆罗门》                                                                                       
002238,故国山川，故园心眼，还似王粲登楼                                            ,出自宋朝周密的《一萼红·登蓬莱阁有感》                                                                                 
002239,画图恰似归家梦，千里河山寸许长                                             ,出自宋朝辛弃疾的《鹧鸪天·送元济之归豫章》                                                                               
002240,日落君山云气，春到沅湘草木，远思渺难收                                         ,出自宋朝张孝祥的《水调歌头·过岳阳楼作》                                                                                
002241,那堪旅馆经残腊，只把空书寄故乡                                             ,出自唐朝王建的《维扬冬末寄幕中二从事》                                                                                 
002242,交亲望归骑，几处拥年华                                                 ,出自唐朝卢僎的《岁晚还京台望城阙成口号先赠交亲》                                                                            
002243,常有江南船，寄书家中否                                                 ,出自唐朝王维的《杂诗三首/杂咏三首》                                                                                  
002244,一去隔绝国，思归但长嗟                                                 ,出自唐朝李白的《千里思》                                                                                        
002245,儿童见说深惊讶，却问何方是故乡                                             ,出自唐朝殷尧藩的《同州端午》                                                                                      
002246,落日暴风雨，归路绕汀湾                                                 ,出自宋朝苏舜钦的《水调歌头·沧浪亭》                                                                                  
002247,楚乡飞鸟没，独与碧云还                                                 ,出自唐朝钱起的《送夏侯审校书东归》                                                                                   
002248,衣懒换，酒难赊可怜此夕看梅花                                              ,出自宋朝吴文英的《思佳客·癸卯除夜》                                                                                  
002249,凭高远望，见家乡、只在白云深处                                             ,出自宋朝王澜的《念奴娇·避地溢江书于新亭》                                                                               
002250,帝乡三千里，杳在碧云间                                                 ,出自唐朝李白的《登敬亭北二小山余时送客逢崔侍御并登此地》                                                                        
002251,亦有白骨归咸阳，营家各与题本乡                                             ,出自唐朝王建的《渡辽水》                                                                                        
002252,茂苑人归，秦楼燕宿，同惜天涯为旅                                            ,出自宋朝吴文英的《齐天乐·新烟初试花如梦》                                                                               
002253,故乡遥，何日去家住吴门，久作长安旅                                           ,出自宋朝周邦彦的《苏幕遮·燎沉香》                                                                                   
002254,蓟城通漠北，万里别吾乡                                                 ,出自唐朝李颀的《古塞下曲》                                                                                       
002255,夕阳无限好，只是近黄昏                                                 ,出自唐朝李商隐的《乐游原/登乐游原》                                                                                  
002256,渐老念乡国，先归独羡君                                                 ,出自宋朝简长的《送僧南归》                                                                                       
002257,天涯失乡路，江外老华发                                                 ,出自唐朝李白的《江南春怀》                                                                                       
002258,月落乌啼霜满天，江枫渔火对愁眠                                             ,出自唐朝张继的《枫桥夜泊》                                                                                       
002259,刷羽同摇漾，一举还故乡                                                 ,出自南北朝沈约的《咏湖中雁》                                                                                      
002260,众中闻謦欬，未语知乡里                                                 ,出自宋朝苏轼的《送金山乡僧归蜀开堂》                                                                                  
002261,物是人非事事休，欲语泪先流                                               ,出自宋朝李清照的《武陵春·春晚》                                                                                    
002262,剑花寒，夜坐归心壮，又是他乡                                              ,出自元朝张可久的《满庭芳·客中九日》                                                                                  
002263,飞锡离乡久，宁亲喜腊初                                                 ,出自唐朝钱起的《送外甥怀素上人归乡侍奉》                                                                                
002264,出师未捷身先死，长使英雄泪满襟                                             ,出自唐朝杜甫的《蜀相》                                                                                         
002265,镇日思归归未得，孤负殷勤杜宇                                              ,出自宋朝王澜的《念奴娇·避地溢江书于新亭》                                                                               
002266,故国伤心，新亭泪眼，更洒潇潇雨                                             ,出自宋朝王澜的《念奴娇·避地溢江书于新亭》                                                                               
002267,沧海月明珠有泪，蓝田日暖玉生烟                                             ,出自唐朝李商隐的《锦瑟》                                                                                        
002268,乡国真堪恋，光阴可合轻                                                 ,出自唐朝白居易的《洛桥寒食日作十韵》                                                                                  
002269,到家应是，童稚牵衣，笑我华颠                                              ,出自宋朝吴激的《诉衷情·夜寒茅店不成眠》                                                                                
002270,春潮带雨晚来急，野渡无人舟自横                                             ,出自唐朝韦应物的《滁州西涧》                                                                                      
002271,十二阑干，故国三千里                                                  ,出自唐朝王庭筠的《凤栖梧·衰柳疏疏苔满地》                                                                               
002272,百结愁肠郁不开，此生惆怅异乡来                                             ,出自近代秋瑾的《九日感赋》                                                                                       
002273,门外无人问落花，绿阴冉冉遍天涯                                             ,出自宋朝曹豳的《春暮》                                                                                         
002274,骋望因高云外尽，乡关回首愧烟萝                                             ,出自明朝石茂华的《九月九日登长城关》                                                                                  
002275,料得他乡遇佳节，亦应怀抱暗凄然                                             ,出自唐朝韩偓的《寒食日重游李氏园亭有怀》                                                                                
002276,世事茫茫难自料，春愁黯黯独成眠                                             ,出自唐朝韦应物的《寄李儋元锡》                                                                                     
002277,纸灰飞作白蝴蝶，泪血染成红杜鹃                                             ,出自宋朝高翥的《清明日对酒》                                                                                      
002278,莫辞酒味薄，黍地无人耕                                                 ,出自唐朝杜甫的《羌村三首·其三》                                                                                    
002279,芭蕉不展丁香结，同向春风各自愁                                             ,出自唐朝李商隐的《代赠二首》                                                                                      
002280,便做春江都是泪，流不尽，许多愁                                             ,出自宋朝秦观的《江城子·西城杨柳弄春柔》                                                                                
002281,青苔满地初晴后，绿树无人昼梦余                                             ,出自宋朝刘攽的《新晴》                                                                                         
002282,雨横风狂三月暮，门掩黄昏，无计留春住                                          ,出自宋朝欧阳修的《蝶恋花·庭院深深深几许》                                                                               
002283,夕阳牛背无人卧，带得寒鸦两两归                                             ,出自宋朝张舜民的《村居》                                                                                        
002284,长使英雄泪满襟，天意高难问                                               ,出自宋朝杨冠卿的《卜算子·秋晚集杜句吊贾傅》                                                                              
002285,伤情处，高城望断，灯火已黄昏                                              ,出自宋朝秦观的《满庭芳·山抹微云》                                                                                   
002286,伤心秦汉，生民涂炭，读书人一声长叹                                           ,出自元朝张可久的《卖花声·怀古》                                                                                    
002287,怅望千秋一洒泪，萧条异代不同时                                             ,出自唐朝杜甫的《咏怀古迹五首·其二》                                                                                  
002288,骚人可煞无情思，何事当年不见收                                             ,出自宋朝李清照的《鹧鸪天·桂花》                                                                                    
002289,落絮无声春堕泪，行云有影月含羞                                             ,出自宋朝吴文英的《浣溪沙·门隔花深梦旧游》                                                                               
002290,今夜送归灯火冷，河塘，堕泪羊公却姓杨                                          ,出自宋朝苏轼的《南乡子·和杨元素时移守密州》                                                                              
002291,蓬门未识绮罗香，拟托良媒益自伤                                             ,出自唐朝秦韬玉的《贫女》                                                                                        
002292,半烟半雨溪桥畔，渔翁醉着无人唤                                             ,出自宋朝黄庭坚的《菩萨蛮·半烟半雨溪桥畔》                                                                               
002293,欲知方寸，共有几许清愁，芭蕉不展丁香结                                         ,出自宋朝贺铸的《石州慢·薄雨收寒》                                                                                   
002294,翰林风月三千首，寄与吴姬忍泪看                                             ,出自宋朝刘著的《鹧鸪天·雪照山城玉指寒》                                                                                
002295,髻子伤春慵更梳晚风庭院落梅初                                              ,出自宋朝李清照的《浣溪沙·髻子伤春慵更梳》                                                                               
002296,泪湿罗衣脂粉满四叠阳关，唱到千千遍                                           ,出自宋朝李清照的《蝶恋花·晚止昌乐馆寄姊妹》                                                                              
002297,伤高怀远几时穷无物似情浓                                                ,出自宋朝张先的《一丛花令·伤高怀远几时穷》                                                                               
002298,暝色入高楼，有人楼上愁                                                 ,出自唐朝李白的《菩萨蛮·平林漠漠烟如织》                                                                                
002299,海内风尘诸弟隔，天涯涕泪一身遥                                             ,出自唐朝杜甫的《野望》                                                                                         
002300,金陵津渡小山楼，一宿行人自可愁                                             ,出自的《》                                                                                               
002301,蚤是伤春梦雨天，可堪芳草更芊芊                                             ,出自唐朝韦庄的《长安清明》                                                                                       
002302,军听了军愁，民听了民怕                                                 ,出自明朝王磐的《朝天子·咏喇叭》                                                                                    
002303,玉骨那愁瘴雾，冰姿自有仙风                                               ,出自宋朝苏轼的《西江月·梅花》                                                                                     
002304,杜鹃再拜忧天泪，精卫无穷填海心                                             ,出自清朝黄遵宪的《赠梁任父母同年/题梁任父同年》                                                                            
002305,梦回人远许多愁，只在梨花风雨处                                             ,出自宋朝辛弃疾的《玉楼春·风前欲劝春光住》                                                                               
002306,昔日横波目，今成流泪泉                                                 ,出自唐朝李白的《长相思三首·其二》                                                                                   
002307,有情风、万里卷潮来，无情送潮归                                             ,出自宋朝苏轼的《八声甘州·寄参寥子》                                                                                  
002308,寂寂闻猿愁，行行见云收                                                 ,出自唐朝李白的《寻高凤石门山中元丹丘》                                                                                 
002309,一上高城万里愁，蒹葭杨柳似汀洲                                             ,出自唐朝许浑的《咸阳城东楼/咸阳城西楼晚眺》                                                                              
002310,酒贱常愁客少，月明多被云妨                                               ,出自宋朝苏轼的《西江月·世事一场大梦》                                                                                 
002311,泪湿罗巾梦不成，夜深前殿按歌声                                             ,出自唐朝白居易的《后宫词》                                                                                       
002312,梁园日暮乱飞鸦，极目萧条三两家                                             ,出自唐朝岑参的《山房春事二首》                                                                                     
002313,此花此叶常相映，翠减红衰愁杀人                                             ,出自唐朝李商隐的《赠荷花》                                                                                       
002314,羞日遮罗袖，愁春懒起妆                                                 ,出自唐朝鱼玄机的《赠邻女/寄李亿员外》                                                                                 
002315,但使情亲千里近，须信无情对面是山河                                           ,出自宋朝辛弃疾的《送龚章判官之卫州·新及第》                                                                              
002316,杨柳丝丝弄轻柔，烟缕织成愁                                               ,出自宋朝王雱的《眼儿媚·杨柳丝丝弄轻柔》                                                                                
002317,一夜东风，枕边吹散愁多少                                                ,出自宋朝曾允元的《点绛唇·一夜东风》                                                                                  
002318,可惜一片清歌，都付与黄昏                                                ,出自宋朝黄孝迈的《湘春夜月·近清明》                                                                                  
002319,胡雁哀鸣夜夜飞，胡儿眼泪双双落                                             ,出自唐朝李颀的《古从军行》                                                                                       
002320,紫艳半开篱菊静，红衣落尽渚莲愁                                             ,出自唐朝赵嘏的《忆王孙》                                                                                        
002321,三分春色二分愁，更一分风雨                                               ,出自宋朝叶清臣的《贺圣朝·留别》                                                                                    
002322,今为羌笛出塞声，使我三军泪如雨                                             ,出自唐朝李颀的《古意》                                                                                         
002323,请为父老歌：艰难愧深情                                                 ,出自唐朝杜甫的《羌村三首·其三》                                                                                    
002324,东风不为吹愁去，春日偏能惹恨长                                             ,出自唐朝贾至的《春思二首·其一》                                                                                    
002325,萧萧江上荻花秋，做弄许多愁                                               ,出自宋朝贺铸的《眼儿媚·萧萧江上荻花秋》                                                                                
002326,泪湿阑干花著露，愁到眉峰碧聚。                                             ,出自宋朝毛滂的《惜分飞·泪湿阑干花著露》                                                                                
002327,城小贼不屠，人贫伤可怜                                                 ,出自唐朝元结的《贼退示官吏》                                                                                      
002328,寄语东阳沽酒市，拼一醉，而今乐事他年泪                                         ,出自宋朝朱服的《渔家傲·小雨纤纤风细细》                                                                                
002329,愁云淡淡雨潇潇暮暮复朝朝                                                ,出自宋朝石孝友的《眼儿媚·愁云淡淡雨潇潇》                                                                               
002330,唱罢秋坟愁未歇，春丛认取双栖蝶                                             ,出自清朝纳兰性德的《蝶恋花·辛苦最怜天上月》                                                                              
002331,阶下青苔与红树，雨中寥落月中愁                                             ,出自唐朝李商隐的《端居》                                                                                        
002332,又到断肠回首处，泪偷零                                                 ,出自清朝纳兰性德的《山花子·风絮飘残已化萍》                                                                              
002333,伏雨朝寒愁不胜，那能还傍杏花行                                             ,出自清朝纳兰性德的《浣溪沙·伏雨朝寒愁不胜》                                                                              
